id,text,label,channel,source_dataset,source_type,is_human_written,is_ai_generated,is_ai_rewritten,is_banking_candidate,banking_keyword,brand_mentioned,requested_action,intent_type,has_url,url,notes,predicted_binary_label,phishing_probability,predicted_label,auto_requested_action,auto_intent_type,auto_brand_mentioned,auto_has_url_like_pattern,priority_reason,manual_banking_related,manual_requested_action,manual_intent_type,manual_brand_mentioned,manual_notes
cross_model_human-cb3f89dd97f449dd,"From Mrs. monica edmond >From Mrs. monica edmond PLOT 23 Felix Avenue Abidjan Cote d Ivoire. Hello Friend, Please excurse me if i have infringe into your privacy.this may be strange any way but i have no option but cry out . having gone through your profile i think i am convince you are the right fellow to confide this to. It is my pleasure to contact you for a business venture which I and my Son, intend to establish in your country. Though I have not met with you before but I believe, one has to risk confiding in someone to succeed sometimes in life. There is this amount of Eight million, five hundred thousand United State Dollars($8.500,000) which my late Husband deposited with a security company in Abidjan Capital city of Cote d'Ivoire which he wanted to used for his political reason in our Country before he was assassinated. Now I and my son have decided to invest these money in your country or anywhere safe enough outside Africa for security and political reasons. We want you to help us claim and receive the consignment which will be sent to you through diplomatic means to your address to avoid any traces of the funds and to enable you plan for the investment in your Country: I will like to invest part of the money into these three investment in your Country but, if there is any other business that is better than what I am suggestion, I will be very glad to follow your advice. 1). Real estate 2). The transport industry 3). Five star hotel If you can be of an assistance to us we will be pleased to offer to you 20% Of the total fund while the balance will be invested by you. I await your response soonest Respectfully yours, Mrs monica edmond _________________________________________________________________ Les révélations de la starac 6 commentées par Jérémy! hxxp://starac2006[.]spaces[.]live[.]com/",phishing,email,cross_model_human,human_phishing_corpus,TRUE,FALSE,FALSE,TRUE,balance|security,,unknown,unknown,TRUE,hxxp://starac2006[.]spaces[.]live[.]com/,upstream_source=Nigerian_Fraud;package_authorship=human;all_rows_phishing,1,0.941110705,phishing,unknown,security_update,,yes,url_like_pattern;,no,,,,
cross_model_human-a4d741473cdfe44e,"CONFIDENTIAL Dear Sir, I am Mr. JJ WALTER the Auditor General of United Bank Of Africa(UBA). There Is an Account opened in this bank in 1980 and since 1990 no body has Operated on this account again. After going through some old files in the records I discovered that if I do not remit this money out urgently it would be fortified for nothing. The owner of this account is Dr.Phillip Morris , a Foreigner and a miner at delth Gold Co, a geologist by Profession. He died since 1990. And no other person knows about this account or anything concerning it. The account has no other beneficiary and my Investigation Proved to me as well that his company does not know anything about his Account and the amount involved is USD 36m) Thirty Six Million United States Dollars. I am only contacting you as a foreigner because the bank is going to welcome you as a foreigner and for the fact you have the correct information about the account, which I will give to you before we proceed. I strongly believe in God that you will never let me down in this business because you are the only person i have contacted in this business. I need youre full co-operation to make this work fine.If you are Capable to handle such amount in strict confidence and trust according to My instructions and advice we will achieve this money immediately, because this opportunity might not Come again in life. I will also use my Position in the bank to Influence and affect legal approvals and immediate onward transfer of this Money into your account with appropriate clearance from the ministries and Foreign Exchange department. Once we conclude this transfer, you will get 25% of the total amount as your own share. As soon as I receive your response, we will proceed with the transfer. I look forward to your earliest reply through this email or [EMAIL] Yours sincerely, Mr. JJ WALTER",phishing,email,cross_model_human,human_phishing_corpus,TRUE,FALSE,FALSE,TRUE,bank|account|transfer,,transfer_money,financial_transfer,FALSE,,upstream_source=Nigerian_Fraud;package_authorship=human;all_rows_phishing,1,0.954080393,phishing,reply_with_code,invoice_or_payment,"discover, bank",no,brand_or_payment_mention;,,,,,
cross_model_human-5a28f7a931cb7c29,"banker Lloyds TSB Group plc 25 Gresham Street London EC2V 7HN Attn....... I discovered a dormant account in my office, as Group finance director with Lloyds bank London.It will be in my interest to transfer this fund worth $55,000,000(fifty five million dollars) in an accountoffshore. If you can be a collaborator to this please indicate interest immediately for us to proceed. Remember this is absolutely confidential. My husband does not know about his risk taking. My family will be in shambles if it burst out and i will also be in trouble aswell as loose my precious job. Your contact phone numbers and name will be necessary for this effect. Regards and respect, Cynthia Wood and Helen Weir. Group Finance Director Lloyds bank London.",phishing,email,cross_model_human,human_phishing_corpus,TRUE,FALSE,FALSE,TRUE,bank|account|transfer,,call_phone,contact_request,FALSE,,upstream_source=Nigerian_Fraud;package_authorship=human;all_rows_phishing,1,0.755186826,phishing,call_number,invoice_or_payment,"discover, bank",no,brand_or_payment_mention;,,,,,
cross_model_human-b25a505d9d00f5aa,"errol with hawthorn Hello, Your refinance application has been accepted. We are ready to give you a loan. There is no obligation and this is a FREE quote! *Debt Consolidation. *Home Improvement. *Refinancing. *Second Mortgage. *Equity Line of Credit. *First Purchase. Visit here for more information Expect to be contacted within 24 Hours. hxxp://catlsjurces[.]com",phishing,email,cross_model_human,human_phishing_corpus,TRUE,FALSE,FALSE,TRUE,credit,,unknown,unknown,TRUE,hxxp://catlsjurces[.]com,upstream_source=TREC-07;package_authorship=human;all_rows_phishing,1,0.757592754,phishing,click_link,unknown,chase,yes,brand_or_payment_mention;url_like_pattern;,,,,,
cross_model_human-f281a87bf8ccbe9e,"MUTUAL PARTNERSHIP. Dear Friend, The political unrest in my country (PHILIPPINES), necessitated this email, though this approach appears desperate, difficulties encountered in efforts to establish a business abroad also necessitate this search for someone to assist me in securing and investing the sum of USD18,000,000(Eighteen million dollars) deposited in my name abroad. By way of summarized profile of myself, I am Senator Luisa Estrada, a 66years old lady and the wife of Joseph Ejercito Estrada (former head of state and President of Philippines). >From past experiences, many people I had regarded as close friends and relatives has capitalize on my family's travail to run away with my money. In order to avert this negative development, I in conjunction with my son now seek your permission to allow us do a CHANGE OF OWNERSHIP/REASSIGNMENT OF CREDIT of stated funds from the holding company to your name, so that the funds (US$18million) would be released to you as the BENEFICIARY (on behalf of me and my family). Our family trustee have secretly protected the deposit, you are to assist us to lay claims of the funds with the aid of all legal documents that will be forwarded to you as time goes on. If you agree to help, we shall discuss the disbursement ratio in our next correspondence after we have been acquainted. I have decided to offer 20% of the above sum to you if you agree to assists us to secure these funds overseas or 30% share for possible help on investing in any reliable venture. No doubt this proposal will make you apprehensive, please I employ you to observe utmost privacy and rest assured that this transaction would be most profitable for both of us. PLEASE INDICATE YOUR INTEREST BY RESPONDING TO MY EMAIL ADDRESS. WITH THE FOLLOWING INFO. Your full name: Address: Your telephone/fax numbers: Company name (If any): Once I receive this information, my son will prepare the necessary documents that will put you in place as the new owner of the funds. The money will then be released to your custody by the security company. Awaiting your swift response via my private email: [EMAIL] Sincerely yours, Luisa Estrada. _________________________________________________________________ Gesendet mit Kuschelmail - www[.]blue-conn[.]de und www[.]blueconnchat[.]de",phishing,email,cross_model_human,human_phishing_corpus,TRUE,FALSE,FALSE,TRUE,credit|transaction|deposit|security,,unknown,unknown,TRUE,www[.]blue-conn[.]de|www[.]blueconnchat[.]de,upstream_source=Nigerian_Fraud;package_authorship=human;all_rows_phishing,1,0.968907786,phishing,call_number,security_update,,yes,url_like_pattern;,,,,,
cross_model_human-59ba760506325558,"INVESTMENT PROPOSAL Dear Friend, I am Larisa Sosnitskaya and I represent Mr. Mikhail Khordokovsky the former C.E.O of Yukos Oil Company in Russia. I have a very sensitive and confidential brief from this top (oligarch) to ask for your partnership in re-profiling funds US$46 Million. I will give the details, but in summary, the funds are coming via Bank Menatep. This is a legitimate transaction. You will be paid 20% as your commission/compensation for your active efforts and contributions to the success of this transaction. You can catch more of the story on this website below or you can watch more of CCN or BBC to get more news about my boss. hxxp://www[.]mosnews[.]com/mn-files/khodorkovsky[.]shtml hxxp://www[.]mbktrial[.]com/ hxxp://news[.]bbc[.]co[.]uk/1/hi/business/3213505[.]stm hxxp://www[.]themoscowtimes[.]com/stories/2005/04/11/041[.]html hxxp://www[.]nndb[.]com/people/633/[PHONE]/ If you are interested, please do indicate by providing me with your confidential telephone number, fax number and email address and I will provide further details and instructions. Please keep this confidential as we cannot afford more political problems. Please do send me your response as soon as possible via my personal email: [EMAIL] looking forward to hearing from you. Regards, Larisa Sosnitskaya.",phishing,email,cross_model_human,human_phishing_corpus,TRUE,FALSE,FALSE,TRUE,bank|transaction,,unknown,unknown,TRUE,hxxp://www[.]mosnews[.]com/mn-files/khodorkovsky[.]shtml|hxxp://www[.]mbktrial[.]com/|hxxp://news[.]bbc[.]co[.]uk/1/hi/business/3213505[.]stm|hxxp://www[.]themoscowtimes[.]com/stories/2005/04/11/041[.]html|hxxp://www[.]nndb[.]com/people/633/[PHONE]/,upstream_source=Nigerian_Fraud;package_authorship=human;all_rows_phishing,1,0.973951966,phishing,call_number,invoice_or_payment,bank,yes,brand_or_payment_mention;url_like_pattern;,,,,,
cross_model_human-4af02e5702391335,"Sincerely Yours Mr Dennis With urgent attention !!!!!! >From the Desk of the Chairman of the Board Directors of Finance Bank of scotland Dear Friend, My name is Mr Dennis Stevenson, an executive staff and The Chairman of the Board Directors of Finance here in our bank. I have only written to seek your indulgence and assistance. I know this is coming as a suprise but it is the truth. Keep this confidential. (Fifteen-million pounds sterlings) (£15,000,000)pounds sterlings is what we are talking about. All i need from you is your utmost trust and honesty. I am proposing to make the transfer of the above mentioned money to a designated bank account of your choice. Thus, i need your indulgence and support.I will be furnishing you with the details of the transaction as soon as i get a positive response from you. This email is an awareness . It is of great importance to let you know that this business is strictly CONFIDENTIAL. Kindly reply me stating your interest, and I shall furnish you with the details and necessary procedures with which to make the transfer. I anxiously await your response. Send your replies to .You can also call me on my mobile [PHONE] Thanks and Godbless you. Sincerely Yours, Mr Dennis Stevenson.",phishing,email,cross_model_human,human_phishing_corpus,TRUE,FALSE,FALSE,TRUE,bank|account|transaction|transfer,,transfer_money,financial_transfer,FALSE,,upstream_source=Nigerian_Fraud;package_authorship=human;all_rows_phishing,1,0.796930254,phishing,call_number,invoice_or_payment,"boa, bank",no,brand_or_payment_mention;,,,,,
cross_model_human-e1f819cd3c07b1b4,"confirm This Transaction Confirm Your Transactions Confirm Your Transactions For your security: Hello, We blocked a transaction from an unknow Geo-Location. Confirm your Login credentials, four digit CID and your card three digit security code to Reactivate your card and online access. Login after the verification process to ensure all your transactions are accurate. Confirm Credentials Thank you for choosing American Express. American Express Customer Care Account : 37********* Privacy Statement | Add us to your address book Your Account information is included above to help you recognize this as a customer service e-mail from AmericanExpress. To learn more about e-mail security or report a suspicious e-mail, please visit us at americanexpress.com/phishing. We kindly ask you not to reply to this e-mail but instead contact us via Customer Care. © 2018 American Express. All rights reserved. ADCEUADC0070001 // document.body.onload=function(){document.body.offsetHeight;window.print()}; // Confirm Your Transactions Confirm Your Transactions For your security: Hello, We blocked a transaction from an unknow Geo-Location. Confirm your Login credentials, four digit CID and your card three digit security code to Reactivate your card and online access. Login after the verification process to ensure all your transactions are accurate. Confirm Credentials Thank you for choosing American Express. American Express Customer Care Account : 37********* Privacy Statement | Add us to your address book Your Account information is included above to help you recognize this as a customer service e-mail from AmericanExpress. To learn more about e-mail security or report a suspicious e-mail, please visit us at americanexpress.com/phishing. We kindly ask you not to reply to this e-mail but instead contact us via Customer Care. © 2018 American Express. All rights reserved. ADCEUADC0070001",phishing,email,cross_model_human,human_phishing_corpus,TRUE,FALSE,FALSE,TRUE,account|card|transaction|security|suspicious|login|code|American Express,American Express,provide_credentials,credential_theft,FALSE,,upstream_source=Nazario;package_authorship=human;all_rows_phishing,1,0.909474003,phishing,click_link,account_locked,american express,yes,brand_or_payment_mention;url_like_pattern;,,,,,
cross_model_human-3629db007136a379,"***SPAM*** PASCAL Dear sir, This business will be of interest to you and your business and involves $30,000,000.00, which emanated from over invoiced contracts executed on behalf of my ministry of minerals and Energy, by foreign contractor. Though the actual contract value has been paid to the original contractor, GUILDER MINING (PTY) SA, now in-liquidation. We have however included our billforthe over invoiced amount of US$30m amongst the present bills that are scheduled for payment in the name of the company in-liquidation. We have also planned the execution of this deal perfectly both in the area of documentation and the changing of beneficiary from the company in liquidation that we had used to apply for payment, to the name, which you will forward to us. I shall supply you with all the relevant documents relating to this transaction as soon as we establish a working relationship. . This transaction is itself risk free and should be concluded within the next ten to fourteen working days if you follow my instructions carefully and we work closely as a team. . Where you are going to come in is this. We are going to effect a change of company name from GUILDER MINING (PTY) SA to your company so as to legalize your company as the bona fide beneficiary of the contract sum. In this regard we will do the incorporation of your company here and reflect your company as having taken over the assets of Guilder Mining (pty). Once we complete this process, your company will now be legally entitled to the US$30m, which the Department of Minerals and Energy owes GUILDER MINING (PTY) SA. We will thereafter use your company's name to apply for the payment of the US$30m into your company's designated account. This application we will process here in my Ministry and the approved Payment Recommendation sent to the Ministry of Finance, whi! ch will authorize the South African Reserve Bank to effect the transfer of the fund to your designated account. For assisting us with a receiving account and a company name, we propose 20% of the contract amount of US$30m for you and 10% for taxes, phone, fax and other incidental expenses that we may incur in the course of the eventual realization of the transaction. Meanwhile, please send me your confidential telephone/fax numbers, to enable us to speak first and know ourselves better. You can also contact me on my confidential sat phone-00+[PHONE] fax-00+[PHONE]. I promise that you will not regret helping us, you have my personal word of honor. My colleagues and I strive for the commitment to operate only on high standards of integrity and honesty. We need the same honesty and commitment to this transaction from you. Thank you for your anticipated cooperation. My Sincere Regards. Dr Pascal Ugoti",phishing,email,cross_model_human,human_phishing_corpus,TRUE,FALSE,FALSE,TRUE,bank|account|payment|transaction|transfer,,transfer_money,financial_transfer,FALSE,,upstream_source=Nigerian_Fraud;package_authorship=human;all_rows_phishing,1,0.880913913,phishing,call_number,invoice_or_payment,bank,no,brand_or_payment_mention;,,,,,
cross_model_human-27d3dfd8589e8671,"Memo from lisa Dear Friend, This mail will come as a surprise to you having not seen each other face to face for the first time.I am Lisa Jaime Savimbi,the wife tolate Jonas Savimbi,the leader of the national Union for The Total Independence of Angola (UNITA). My husband was killed during a combat action against government forces in Moxico, Angola on the 22nd of Feb. 2002. you might wish to view the news on this websitehxxp://news[.]bbc[.]co[.]uk/1/hi/world/africa/1839252[.]stmI am contacting you because of my need to deal with a person whom my family had no previous relationship. Since the death of my husband, my family has been subjected to all sorts of harassment and intimidation with lots of negative report emanating from the government of President Santos about my husband. The present government has also ensured that all our bank accounts are frozen,and all assets seized.It is in view of this that I seek your assistance in investing and managing the sum of Thirty five Million United State Dollars in your country, being the very last of my family funds in my possession and control unknown to the government. This money now in question came as a result of Diamond Royalties that was paid to my late husband from the Diamond mining within the areas in Angola being controlled by(UNITA)for more than a decade. Right now, the present government has intensified their probe on my family`s financial resources; frozen all our known foreign & local accounts,and even detained my son (Charles) on alleged flimsy charges just because my husband before his death was the head of UNITA. As a result I urgently need a foreign partner, somebody who must acknowledge my dilemma and willingly assist and help me in the following ways (1)To assist by accepting to have this fund transferd into your foreign or provided account. (2)To act as my guidian and overseer and also help me to invest this money in any profitable business venture because I have a very little knowledge in business. However I propose giving you 20% of the total sum to you or your company for the expected services and assistance.But please try and keep everything concerning this transfer very confidential for security reasons.And if you're ready and willing to assist me in retrieving this deposit,please kindly reach me back immediately so that I can furnish you with the entire details. Thanks for your corperation and remain blessed. Best regards, Mrs lisa savimbi",phishing,email,cross_model_human,human_phishing_corpus,TRUE,FALSE,FALSE,TRUE,bank|account|transfer|deposit|security,,unknown,unknown,TRUE,hxxp://news[.]bbc[.]co[.]uk/1/hi/world/africa/1839252[.]stmI,upstream_source=Nigerian_Fraud;package_authorship=human;all_rows_phishing,1,0.957481343,phishing,make_payment,account_locked,bank,yes,brand_or_payment_mention;url_like_pattern;,,,,,
