id,text,label,source_dataset,channel,is_human_written,is_ai_generated,is_ai_rewritten,phishing_probability,notes
SmishX-5c0891ee5d75e2b1,hxxps://tx[.]vc/r/2YzA2/1Ceu1V/7Sjt6UU,phishing,SmishX,sms,unknown,unknown,unknown,0.0030763977779724,original_label=smishing;if_URL=1;authorship_not_provided
SmishX-906ecedf9a41e985,"Hi Emilly tonight 7pm, discover my Bulletproof System to boost your revenue faster in 2022! hxxps://tx[.]vc/r/3axdT Optout hxxps://tx[.]vc/o/8d122",phishing,SmishX,sms,unknown,unknown,unknown,0.1328856109061361,original_label=smishing;if_URL=1;authorship_not_provided
cross_model_human-98f608705f87cff4,"hey hey hey hey Hey there, I was online so I thought I would give you a line. Have a good Thanksgiving and drive carefully and go horns, I mean ags! Just joking! Stephanie ______________________________________________________________________________ _______ Get more from the Web. FREE MSN Explorer download",phishing,cross_model_human,email,true,false,false,0.1621100964323656,upstream_source=enron_data_fraud_labeled;package_authorship=human;all_rows_phishing
cross_model_human-fa0e8ca82a3d7b4a,"Telephone Income Tired of the routine 9-5 and want to stay at your place instead? No traffic, no frustrating co-workers...heck stay in your PJs all day. Well if you have a phone and can return calls then this is for you. Call to hear the message on how myself and others do this every single day and have a blast while doing it. Dial [PHONE] to hear how. Ok so this is not for everyone but you have to let us know. Send back a reply to let us know.",phishing,cross_model_human,email,true,false,false,0.2040216048292502,upstream_source=TREC-07;package_authorship=human;all_rows_phishing
SmishX-539fe12b307278c5,How about getting in touch with folks waiting for company? Just txt back your NAME and AGE to opt in! Enjoy the community (150p/SMS),phishing,SmishX,sms,unknown,unknown,unknown,0.2149343885755078,original_label=smishing;if_URL=0;authorship_not_provided
SmishX-ad60ad75c6327532,"Hi Mik, Check out what's new here: hxxps://drpsnd[.]io/Waa7Ud Reply 'STOP' to opt out",phishing,SmishX,sms,unknown,unknown,unknown,0.2426209654929038,original_label=smishing;if_URL=1;authorship_not_provided
cross_model_human-8bb1c4df20d19c88,"I miss H-Town I miss H-Town Hello Fellows. Just a quick note to my H-Town homeboys as it were. Any of you float away in the floods? Putnam, I heard you had some damage, sorry to hear about that. If any of you have brilliant ideas for a new and exciting career for me to pursue, I'm all ears. This unemployment thing is getting a bit old. Jay, if you have any advice on how to make the most of these days, speak up. I like to learn from the masters. I'm going to a place called Peter Luger's tonight for Susie's birthday. It's considered by some to be the best steak you can buy in America. We'll see how it stacks up to P.J.'s. Take it easy boys. --Eric _________________________________________________________________ Get your FREE download of MSN Explorer at",phishing,cross_model_human,email,true,false,false,0.2612725101779374,upstream_source=enron_data_fraud_labeled;package_authorship=human;all_rows_phishing
SmishX-37df5f4bb62be695,+123 Congratulations - in this week's competition draw u have won the £1450 prize to claim just call [PHONE] b4280703. T&Cs/stop SMS [PHONE]. Over 18 only 150ppm,phishing,SmishX,sms,unknown,unknown,unknown,0.2769435234108171,original_label=smishing;if_URL=0;authorship_not_provided
SmishX-b02eb657b9e4551f,HHGRYFR here's how to create 3 High Cash-Flowing Properties & Scale to a Six Figure Revenue! hxxps://tx[.]vc/r/2Aiak Optout hxxps://tx[.]vc/o/8d122,phishing,SmishX,sms,unknown,unknown,unknown,0.2814472338146584,original_label=smishing;if_URL=1;authorship_not_provided
SmishX-01fd92e48de67cd0,hello hxxps://drpsnd[.]io/SiQPdG Reply STOP to stop,phishing,SmishX,sms,unknown,unknown,unknown,0.2847237946516486,original_label=smishing;if_URL=1;authorship_not_provided
