resource_id,name,type,channel,content_origin,labels_or_role,banking_scope,access_or_local_status,license_status,planned_use,notes
smishtank,SmishTank,dataset/source,SMS,human-reported,phishing reports,mixed with banking candidates,external link,verify source terms,candidate human scam messages,Do not assume every report includes usable message text
smishtank_paper,Smishing Dataset I,dataset paper,SMS,human-reported,smishing,mixed,arXiv paper available,CC BY 4.0 paper; dataset terms separate,provenance and collection guidance,arXiv 2402.18430
smishx,SmishX relabeled dataset and code,dataset/repo,SMS,human/public-source relabel,smishing spam legitimate,mixed,external GitHub repo,MIT repository; confirm data provenance,useful SMS baseline and labeling reference,Repository states 1200 relabeled messages
phishfuzzer,PhishFuzzer,dataset/repo,email,human seeds and LLM variants,phishing spam valid plus intent,mixed with controllable banking subset,external GitHub repo,verify data and upstream-source terms,candidate email benchmark and schema reference,Paper reports 23100 messages
phishfuzzer_paper,The Phish The Spam and The Valid,paper,email,human and LLM-generated,phishing spam valid plus metadata and intent,mixed,uploaded PDF and arXiv,arXiv paper license; dataset terms separate,method and dataset documentation,arXiv 2511.21448v5
uploaded_ai_email_csv,AI_Generated_Phishing_Legitimate_Emails.csv,dataset,email,AI-generated,phishing and legitimate,mixed; filtering required,uploaded locally; not committed,unclear; must identify source before use,pilot AI-written email source,Duplicate copy appears in two archive paths
uploaded_bank_sms,Prepared bank transactions SMS dataset.xlsx,dataset,SMS,unknown likely legitimate/transactional,requires inspection,inside uploaded datasets/archive.zip; not committed,unclear,possible legitimate banking comparison data,Do not claim validated or banking-filtered until audited
cross_model_package,Cross-model phishing package,dataset/code/results,email,human and LLM-generated,authorship within phishing,includes banking category,uploaded nested zip; not committed,MIT code and CC BY 4.0 data per included license,authorship and generator-shift reference,9986 messages reported; not paired rewrites
cross_model_paper,Cross-model evaluation of phishing detectors against LLM-generated emails,paper,email,human and LLM-generated,authorship within phishing,includes banking category,uploaded PDF,CC BY paper,methodology and mitigation context,Frontiers in Big Data 2026 DOI 10.3389/fdata.2026.1883452
opara2025,Evaluating spam filters and stylometric detection of AI-generated phishing emails,paper/dataset,email,AI-generated,AI phishing and filter outcomes,not banking-specific,uploaded PDF,paper access known; dataset terms to verify,stylometric mitigation context,63 GPT-4o messages reported
francia2024,Assessing AI vs Human-Authored Spear Phishing SMS Attacks,paper,SMS,human and AI-generated,persuasiveness/source judgment,not banking-specific,uploaded PDF,verify,persuasiveness context not detector benchmark,arXiv 2406.13049
kulal2025,Robust ML detection of conventional LLM-generated and adversarial phishing emails,paper,email,mixed,phishing and legitimate,not banking-specific,uploaded PDF,verify,preprocessing and adversarial mitigation reference,arXiv 2510.11915
ahmed2026,Adversarial Robustness of Phishing Email Detection,paper,email,mixed,phishing and legitimate,not banking-specific,uploaded PDF,verify publication and license,TF-IDF LR versus DistilBERT robustness reference,arXiv 2607.18429 preprint
phishoracle,PhishOracle Project,code/dataset reference,webpage,adversarially generated pages,phishing and legitimate,mixed,external GitHub repo,verify dataset links and terms,robustness-design analogy,Not a text-message dataset
phishoracle_webapp,PhishOracle Webapp,tool,webpage,adversarially generated pages,not applicable,mixed,external GitHub repo,verify,organization and tooling reference,Outside core message scope
bank_threat_context,Register.bank phishing overview,industry context,multiple,not applicable,threat context,banking,external web page,citation use only,motivation and bank-identity context,Commercial stakeholder source; do not treat as peer-reviewed evidence
field_effect_2026,Field Effect 2026 Cyber Threat Outlook,industry report,multiple,not applicable,threat context,mixed,uploaded PDF and external link,citation use only,AI-enhanced phishing trust identity and social-engineering context,Industry report; distinguish forecast from measured results
