id,text,label,channel,source_dataset,source_type,is_human_written,is_ai_generated,is_ai_rewritten,is_banking_candidate,banking_keyword,brand_mentioned,requested_action,intent_type,has_url,url,notes,predicted_binary_label,phishing_probability,predicted_label,auto_requested_action,auto_intent_type,auto_brand_mentioned,auto_has_url_like_pattern,priority_reason,manual_banking_related,manual_requested_action,manual_intent_type,manual_brand_mentioned,manual_notes,strict_banking_related,strict_review_reason
cross_model_human-cb3f89dd97f449dd,"From Mrs. monica edmond >From Mrs. monica edmond PLOT 23 Felix Avenue Abidjan Cote d Ivoire. Hello Friend, Please excurse me if i have infringe into your privacy.this may be strange any way but i have no option but cry out . having gone through your profile i think i am convince you are the right fellow to confide this to. It is my pleasure to contact you for a business venture which I and my Son, intend to establish in your country. Though I have not met with you before but I believe, one has to risk confiding in someone to succeed sometimes in life. There is this amount of Eight million, five hundred thousand United State Dollars($8.500,000) which my late Husband deposited with a security company in Abidjan Capital city of Cote d'Ivoire which he wanted to used for his political reason in our Country before he was assassinated. Now I and my son have decided to invest these money in your country or anywhere safe enough outside Africa for security and political reasons. We want you to help us claim and receive the consignment which will be sent to you through diplomatic means to your address to avoid any traces of the funds and to enable you plan for the investment in your Country: I will like to invest part of the money into these three investment in your Country but, if there is any other business that is better than what I am suggestion, I will be very glad to follow your advice. 1). Real estate 2). The transport industry 3). Five star hotel If you can be of an assistance to us we will be pleased to offer to you 20% Of the total fund while the balance will be invested by you. I await your response soonest Respectfully yours, Mrs monica edmond _________________________________________________________________ Les révélations de la starac 6 commentées par Jérémy! hxxp://starac2006[.]spaces[.]live[.]com/",phishing,email,cross_model_human,human_phishing_corpus,TRUE,FALSE,FALSE,True,balance|security,,unknown,unknown,True,hxxp://starac2006[.]spaces[.]live[.]com/,upstream_source=Nigerian_Fraud;package_authorship=human;all_rows_phishing,1,0.941110705,phishing,unknown,security_update,,yes,url_like_pattern;,no,,,,,unsure,generic keyword only; needs human check
cross_model_human-f281a87bf8ccbe9e,"MUTUAL PARTNERSHIP. Dear Friend, The political unrest in my country (PHILIPPINES), necessitated this email, though this approach appears desperate, difficulties encountered in efforts to establish a business abroad also necessitate this search for someone to assist me in securing and investing the sum of USD18,000,000(Eighteen million dollars) deposited in my name abroad. By way of summarized profile of myself, I am Senator Luisa Estrada, a 66years old lady and the wife of Joseph Ejercito Estrada (former head of state and President of Philippines). >From past experiences, many people I had regarded as close friends and relatives has capitalize on my family's travail to run away with my money. In order to avert this negative development, I in conjunction with my son now seek your permission to allow us do a CHANGE OF OWNERSHIP/REASSIGNMENT OF CREDIT of stated funds from the holding company to your name, so that the funds (US$18million) would be released to you as the BENEFICIARY (on behalf of me and my family). Our family trustee have secretly protected the deposit, you are to assist us to lay claims of the funds with the aid of all legal documents that will be forwarded to you as time goes on. If you agree to help, we shall discuss the disbursement ratio in our next correspondence after we have been acquainted. I have decided to offer 20% of the above sum to you if you agree to assists us to secure these funds overseas or 30% share for possible help on investing in any reliable venture. No doubt this proposal will make you apprehensive, please I employ you to observe utmost privacy and rest assured that this transaction would be most profitable for both of us. PLEASE INDICATE YOUR INTEREST BY RESPONDING TO MY EMAIL ADDRESS. WITH THE FOLLOWING INFO. Your full name: Address: Your telephone/fax numbers: Company name (If any): Once I receive this information, my son will prepare the necessary documents that will put you in place as the new owner of the funds. The money will then be released to your custody by the security company. Awaiting your swift response via my private email: [EMAIL] Sincerely yours, Luisa Estrada. _________________________________________________________________ Gesendet mit Kuschelmail - www[.]blue-conn[.]de und www[.]blueconnchat[.]de",phishing,email,cross_model_human,human_phishing_corpus,TRUE,FALSE,FALSE,True,credit|transaction|deposit|security,,unknown,unknown,True,www[.]blue-conn[.]de|www[.]blueconnchat[.]de,upstream_source=Nigerian_Fraud;package_authorship=human;all_rows_phishing,1,0.968907786,phishing,call_number,security_update,,yes,url_like_pattern;,,,,,,unsure,generic keyword only; needs human check
cross_model_human-2bb759f165d9e9d4,monkey.org update Domain Security Update Domain: monkey.org To: [EMAIL] You are strongly advised to update your mail today to avoid being suspended from monkey.org database. Click here to update for freeThanks monkey.org,phishing,email,cross_model_human,human_phishing_corpus,TRUE,FALSE,FALSE,True,security|suspended,,unknown,unknown,False,,upstream_source=Nazario;package_authorship=human;all_rows_phishing,1,0.912848592,phishing,click_link,security_update,,yes,url_like_pattern;,,,,,,unsure,generic keyword only; needs human check
cross_model_human-4c2aa864a1a7dc3e,"Your are required to upgrade your Email Account Now Dear [EMAIL], We have have upgraded our servers from version 18.04 to Version 20.Your are required to upgrade your Email [EMAIL] to continue receiving incoming messages in your email server. Please upgrade your Email with the link below to avoid your Mailbox being deleted from our servers because all older version servers will be deleted after 24 hours. UPGRADE EMAIL SERVER HERE Failure to review your account may cause login interruption. monkey.org Copyright © 2022 All Rights Reserved.",phishing,email,cross_model_human,human_phishing_corpus,TRUE,FALSE,FALSE,True,account|login,,unknown,unknown,False,,upstream_source=Nazario;package_authorship=human;all_rows_phishing,1,0.938735153,phishing,enter_credentials,generic_bank_alert,,yes,url_like_pattern;,,,,,,no,strong non-banking category
cross_model_human-91ae268cc6fbc4e5,"for ; Tue, 11 Jul 2006 12:31:[PHONE] Received: from web1.vais.net [[PHONE]] by imail.vais.net with ESMTP (SMTPD32-8.15) id A2B32DE1122C; Tue, 03 Jul 2007 19:02:[PHONE] Received: from web1 ([[PHONE]]) by web1.vais.net with Microsoft SMTPSVC([PHONE]); Tue, 03 Jul 2007 19:02:[PHONE] thread-index: AcalB6fszzHQUzspRL2312QfUJjhJA== Thread-Topic: Attention Men, Get a larger penls in few months From: ""Dion L.Childs"" To: [EMAIL] Subject: Wouldn't it be nice to make the women drool at the size of your c0ck. Let us help you. Date: Tue, 03 Jul 2007 19:02:[PHONE] Message-ID: MIME-Version: 1.0 Content-Type: text/plain; charset=""iso-8859-1"" Content-Transfer-Encoding: 7bit X-Mailer: Microsoft CDO for Windows 2000 Content-Class: urn:content-classes:message Importance: normal Priority: normal X-MimeOLE: Produced By Microsoft MimeOLE V6.[PHONE] X-OriginalArrivalTime: Tue, 03 Jul 2007 19:02:[PHONE] (UTC) FILETIME=[A72016D0:01C6A507] X-PM: PerfectMail Anti-Spam & Anti-Virus Scanner (www[.]ouupsoftware[.]com) X-ClamAV: Scanned X-PM-RogueFiles: No dangerous Microsoft attachments found - OK(0, 0) X-PM-Scan: Mail Accepted Megasize your unit with Megadlk. A huge advancement in mens health. Just some of the benefits include: *No more finishing too soon. *Three+ lnches in size gain. *Better overall feeling of self. *Full, thick hardons..no more semls *More virility, desire. Best of all your mate will love you for it. Get started today hxxp://vlwazxahf[.]ghqd[.]net We have given you the 0ption to 0pt 0ff hxxp://ghqd[.]net/d[.]php",phishing,email,cross_model_human,human_phishing_corpus,TRUE,FALSE,FALSE,True,transfer,,unknown,unknown,True,www[.]ouupsoftware[.]com|hxxp://vlwazxahf[.]ghqd[.]net|hxxp://ghqd[.]net/d[.]php,upstream_source=TREC-07;package_authorship=human;all_rows_phishing,1,0.850233319,phishing,call_number,payment_failed,,yes,url_like_pattern;,,,,,,no,strong non-banking category
cross_model_human-41e13826c978b177,"BUSINESS PROPOSAL(PLEASE READ MY MAIL) Dear friend, I hope this meets you in good health. My name is Antonio Rodrigo a legal practitioner and Attorney to late Mr. Harley Grahams who died in the Madrid bomb Blast of March 11th, 2004 . My late client was an influential wealthy businessman, a British Contractor and a big time Oil dealer and the Principal owner of Oil Alliance Company and he left behind a substantial amount of millions of money with a Security and Finance company here in Madrid Spain . The total Amount in question is ( US$10,[PHONE]) Ten Million U.S. dollars only. However, I would like both of us to work together and pull this fund out from the security company where it is presently being held in trust for the deceased. Please, provide me with your direct confidential contact details in your reply to this email should you be interested in cooperating with me. I assure you of my utmost confidentiality and transparency in this transaction as you will be adequately rewarded. Please, kindly oblige me your confidential phone number in your reply to this email so that I can call first to speak with you as there are a lot of information that I can not divulge over the internet for security reasons. I will give you more details as soon as I received your reply urgently. Kindly send your swift reply with your direct phone number to my confidential email address below. Email; [EMAIL] [mailto:[EMAIL]] Yours truly, Antonio Rodrigo Madrid-Spain. Email; [EMAIL] [mailto:[EMAIL]] Der WEB.DE SmartSurfer hilft bis zu 70% Ihrer Onlinekosten zu sparen! *hxxp://smartsurfer[.]web[.]de/?mc=100071&distributionid=[PHONE]* [hxxp://smartsurfer[.]web[.]de/?mc=100071&distributionid=[PHONE]]",phishing,email,cross_model_human,human_phishing_corpus,TRUE,FALSE,FALSE,True,transaction|security,,call_phone,contact_request,True,hxxp://smartsurfer[.]web[.]de/?mc=100071&distributionid=[PHONE]*|hxxp://smartsurfer[.]web[.]de/?mc=100071&distributionid=[PHONE],upstream_source=Nigerian_Fraud;package_authorship=human;all_rows_phishing,1,0.970024783,phishing,call_number,security_update,,yes,url_like_pattern;,,,,,,no,strong non-banking category
cross_model_human-1a2175460691288d,"Great opportunity to give her a real pleasure hekb buqjkz ljtqu Po txw we sry rEn qf lar atm ge is the COM ozc PLETE VIR uv ILI ee TY for fm mula for men with all the benefits you want, but none of the negatives. The new Po bdj we iu rEn wu lar jt ge Pil lti ls form vh ula was created based on the research and expertise of our me mhx dic he al he cd rba sx list, G. Ande tqn rson, who has worked as a he tlj rba bkh list for over 40 years in Europe. With more input from recent cli bf nic uj al stu buo dies plus customer feedback, we refined the incredible formu fd la that YOU can have today.We understand that most customers need con mbd fident udo iality and respect every need of our clients. Secure onl bp ine or lrn deri is ng process, discreet pac plc king, security of your private information are gu sps arant ll eed.Fast EX ha PRE ujf SS Sh hb ipp pqk ing WorldWide. Click here!!! ... hxxp://clcmf[.]makecase[.]com/?aqhp",phishing,email,cross_model_human,human_phishing_corpus,TRUE,FALSE,FALSE,True,security,,unknown,unknown,True,hxxp://clcmf[.]makecase[.]com/?aqhp,upstream_source=CEAS_08;package_authorship=human;all_rows_phishing,1,0.842842713,phishing,click_link,payment_failed,,yes,url_like_pattern;,,,,,,unsure,generic keyword only; needs human check
cross_model_human-11971365f07def1c,"We are ready to give you a loan Your credit doesn't matter to us! If you OWN real estate and want IMMEDIATE cash to spend ANY way you like, or simply wish to LOWER your monthly payments by a third or more, here is the deal we can offer you TODAY (hurry, this offer will expire TONIGHT): $372,000+ loan AND EVEN MORE: After further review, our lenders have established the lowest monthly payments! Hurry, when this deal is gone, it is gone.. Simply fill out this one-minute form... Don't worry about approval, your credit will not disqualify you! hxxp://aiutdfiezneed[.]com/",phishing,email,cross_model_human,human_phishing_corpus,TRUE,FALSE,FALSE,True,credit,,unknown,unknown,True,hxxp://aiutdfiezneed[.]com/,upstream_source=TREC-07;package_authorship=human;all_rows_phishing,1,0.85892166,phishing,make_payment,generic_bank_alert,,yes,url_like_pattern;,,,,,,unsure,generic keyword only; needs human check
cross_model_human-4a716ad198c79eb7,"Work Online With eBay...find out more You registered to receive this and similar offers from on . Just released! - 44.3 billion earned on eBay in 2005! ""Turn Your Home Computer Into A Money Machine."" hxxp://sevtjmcpnx[.]supereducationcenter[.]com/t/l?h4-ptb-1-k7l-678d Your ideal WORK FROM H-O-M-E BUSINESS is only a click away. We teach you everything you need to know to make good money on eBay (and the other auction sites). CBS News recently spotlighted people who make a good living selling on eBay. You too can work from home. It's so simple - you sell any products you like including all of the thousands of name brand products supplied by resources we provide to you. hxxp://sevtjmcpnx[.]supereducationcenter[.]com/t/l?h4-ptb-2-k7l-678d BONUS - We will give you a $300 to starting bonus: Google Adwords $50 advertising credit Yahoo Overture- $50 advertising credit and much much more! Our proven system has helped thousands of people to earn money on eBay. Now it can be yours FREE. Click here for details: hxxp://sevtjmcpnx[.]supereducationcenter[.]com/t/l?h4-ptb-3-k7l-678d This ad is in full compliance with the U.S. Federal-Can-Spam-Act of 2003. If you no longer want promotions from this advertiser, go to: hxxp://sevtjmcpnx[.]supereducationcenter[.]com/t/l?h4-ptb-4-5lk-678d or write: Auction Monster - 16192 Coastal Highway - Lewes, DE 19958 678d If you no longer wish to receive these commercial emails, you may remove yourself from our mailing list by clicking here hxxp://sevtjmcpnx[.]supereducationcenter[.]com/remove?r[.]Devine[.]10-90ffc4f-6aac[.]speedy[.]uwaterloo[.]ca[.]-producttestpanel?r click here or by calling our unsubscribe hotline at [PHONE]. Please note this phone number is used solely for unsubscribe requests. Please allow up to five business days for your request to be processed. You may also contact us by writing to us at our postal address: Montague| 9600 Great Hills Trail, Suite 150 W| Austin, TX [PHONE] x262 3830 Forest Drive, Suite 207 Columbia , SC 29204 USA",phishing,email,cross_model_human,human_phishing_corpus,TRUE,FALSE,FALSE,True,credit,,call_phone,contact_request,True,hxxp://sevtjmcpnx[.]supereducationcenter[.]com/t/l?h4-ptb-1-k7l-678d|hxxp://sevtjmcpnx[.]supereducationcenter[.]com/t/l?h4-ptb-2-k7l-678d|hxxp://sevtjmcpnx[.]supereducationcenter[.]com/t/l?h4-ptb-3-k7l-678d|hxxp://sevtjmcpnx[.]supereducationcenter[.]com/t/l?h4-ptb-4-5lk-678d|hxxp://sevtjmcpnx[.]supereducationcenter[.]com/remove?r[.]Devine[.]10-90ffc4f-6aac[.]speedy[.]uwaterloo[.]ca[.]-producttestpanel?r,upstream_source=TREC-07;package_authorship=human;all_rows_phishing,1,0.919702443,phishing,click_link,invoice_or_payment,,yes,url_like_pattern;,,,,,,no,strong non-banking category
cross_model_human-f331f5ac3d4eacf2,"Your Progressive Quote Your Progressive Quote [IMAGE]=09 [IMAGE] BUY your policy online! PROGRESSIVE.COM [IMAGE] Thank you for completing a Progressive quote. When you're ready you can buy= your policy online or call [PHONE] to start your coverage immedia= tely. [IMAGE] Your 6 Month Progressive quote is: [IMAGE] If paid i= n full: $919.50 [IMAGE] Or by installment: $1,022.50 [IMAGE] Wit= h the following payment options: Quote [PHONE] [IMAGE] Name: campbell [IMAGE] Zip Code: 77031 4 Payments Down payment: $36= 7.78 3 payments: $[PHONE] Payments-EFT Required Down payment: $23= 3.86 3 payments: $[PHONE] payments: $195.44 Note: Payments include= an installment fee that can vary by payment method. In most payment opti= ons, you can reduce your installment fee by using our Electronic Funds Tran= sfer feature, which deducts installment payments directly from your checkin= g account. [IMAGE] 2 EASY WAYS TO BUY! [IMAGE] 1. Online Click Here to retrieve your quote and purchase your policy or modify your quote information. [IMAGE] [IMAGE] 2. Call toll free 1-877-PROG-COM sm ([PHONE] hours a day, 7 days a week, to speak with an auto insu= rance counselor. [IMAGE] Did You Know That Progressive... [IMAGE]= Is the 4th largest auto insurer in the U.S., insuring drivers since 19= 37. Has a fleet of Immediate Response claims vehicles that come to you to= settle your claim fast. Is accessible toll free, 24 hours, 7 days a week= Lets you view and update your policy information online anytime with P= ersonal Progressive View our Personal Progressive demo Is the #1 i= nsurer of motorcycles and a leading insurer of ATV's, RV's, boats, and per= sonal watercraft. Enjoy the convenience of insuring all your vehicles thro= ugh Progressive Is sold by more than 30,000 independent agents across th= e country? Click here to locate a Progressive authorized agent in your are= a. [IMAGE] [IMAGE] Coverage Information Drivers: Status: larry cam= pbell Yes Coverage Selections Bodily Injury and Property Damage L= iability coverage: $20,000 person/$40,000 accident/$15,000 property damage= (State Minimum) Uninsured/Underinsured Motorist Bodily Inju= ry (UM/UIMBI) coverage: No coverage Uninsured/Underinsured Motorists Pr= operty Damage (UM/UIMPD) coverage: No coverage Medical Payments coverag= e: No coverage Personal Injury Protection (PIP) coverage: No coverage= Uninsured/Underinsured Motorists Property Damage (UM/UIMPD) covera= ge: No coverage Comprehensive coverage: $500 Deductible Collision cov= erage: $500 Deductible Rental Reimbursement coverage: No coverage Tow= ing and Labor coverage: No coverage Add-on Equipment coverage: 0 Cli= ck here to view Progressive's privacy policy [IMAGE] Win A Cash Pri= ze! SurveyBegin the survey now! We are conducting a study among individu= als who have recently gotten an online quote. Your participation is greatl= y appreciated and will help improve Progressive's application. The survey i= s easy and should take between 1-3 minutes to complete. As a way of saying 'thank you' for participating, a drawing will be held in which three cash p= rizes of $100, $50 and $25 will be awarded from the pool of all properly co= mpleted surveys. [IMAGE] =09[IMAGE]=09",phishing,email,cross_model_human,human_phishing_corpus,TRUE,FALSE,FALSE,True,account|payment|code,,call_phone,contact_request,False,,upstream_source=enron_data_fraud_labeled;package_authorship=human;all_rows_phishing,1,0.819588132,phishing,click_link,payment_failed,"chase, boa",yes,brand_or_payment_mention;url_like_pattern;,,,,,,unsure,unclear
