id,text,label,channel,source_dataset,source_type,is_human_written,is_ai_generated,is_ai_rewritten,is_banking_candidate,banking_keyword,brand_mentioned,requested_action,intent_type,has_url,url,notes
cross_model_human-8b0d75fd2e972139,"Receipt for Your Payment to FTX. PayPal You sent a payment of $699.99 USD to FTX It may take a few moments for this transaction to appear in your account. Transaction ID 9XJ31677TK080711F Transaction date Dec 11, 2022 Merchant FTX Instructions to merchant You haven't entered any instructions. Invoice ID ANR9CFQF0000000000000000000LAKTYBJM Description Unit price Qty Amount Shipping label from PayPal Shipping powered by FTX $699.99 USD 1 $699.99 USD Subtotal $699.99 USD Total $699.99 USD Payment $699.99 USD Issues with this transaction? You have 10 days from the date of the transaction to open a dispute in the Resolution Center. For More Information Call us:- [PHONE] ________________________________ Help & Contact | Security | Apps Please don't reply to this email. To get in touch with us, click Help & Contact. PayPal Customer Service can be reached at [PHONE]. Not sure why you received this email? Learn more Copyright (c) [PHONE] PayPal, Inc. All rights reserved. PayPal is located at 2211 N. First St., San Jose, CA 95131. PayPal RT000016:en_US(en-US):1.4.0:6789231dd5aab PayPal You sent a payment of $699.99 USD to FTX It may take a few moments for this transaction to appear in your account. Transaction ID 9XJ31677TK080711F Transaction date Dec 11, 2022 Merchant FTX Instructions to merchant You haven't entered any instructions. Invoice ID ANR9CFQF0000000000000000000LAKTYBJM Description Unit price Qty Amount Shipping label from PayPal Shipping powered by FTX $699.99 USD 1 $699.99 USD Subtotal $699.99 USD Total $699.99 USD Payment $699.99 USD Issues with this transaction? You have 10 days from the date of the transaction to open a dispute in the Resolution Center. For More Information Call us:- [PHONE] Help & Contact | Security | Apps Please don't reply to this email. To get in touch with us, click Help & Contact. PayPal Customer Service can be reached at [PHONE]. Not sure why you received this email? Learn more Copyright © [PHONE] PayPal, Inc. All rights reserved. PayPal is located at 2211 N. First St., San Jose, CA 95131. PayPal RT000016:en_US(en-US):1.4.0:6789231dd5aab",phishing,email,cross_model_human,human_phishing_corpus,true,false,false,True,account|payment|transaction|security|PayPal,PayPal,call_phone,contact_request,False,,upstream_source=Nazario;package_authorship=human;all_rows_phishing
cross_model_human-1fdbc4d1c305d6c3,"[EMAIL] have stopped processing incoming emails. We have stopped processing incoming emails You are required to verify your account. You may not use some services if you do not verify your account. Email Account [EMAIL] Date 9/14/2021 2:22:15 a.m. We need you to verify your account now, please click here . Copyright monkey.org",phishing,email,cross_model_human,human_phishing_corpus,true,false,false,True,account|verify,,verify_account,account_verification,False,,upstream_source=Nazario;package_authorship=human;all_rows_phishing
cross_model_human-6818d46e7a551ecc,"Short 30 second form Your your credit report doesn't matter to us! If your family OWN real estate and want IMMEDIATE pin money to spend ANY way you like, or simply need to LOWER your current payments by a third or more, here is the deal we can offer you THIS EVENING (hurry, this offer will expire TODAY): $253,000+ loan AND EVEN MORE: After further review, our lenders have established the lowest payments! Hurry, when our deal is gone, it is gone. Simply fill in this plain form... Don't worry about approval, your credit history will not disqualify you!! hxxp://domerbase[.]com/",phishing,email,cross_model_human,human_phishing_corpus,true,false,false,True,credit,,unknown,unknown,True,hxxp://domerbase[.]com/,upstream_source=TREC-07;package_authorship=human;all_rows_phishing
cross_model_human-6121eec9e36635e6,"Notification UPS My Choice® Hi, This message is sent to you at the request of the shipper, To notify you that a package was tendered to UPS and has been shipped. Click tracking number to verify the actual transit status for estimated delivery and shipper's info. Shipped Date: Friday, 3/15/2019 Change Delivery Manage Preferences View Delivery Planner Tracking Number: 1Z5282737283616153 UPS Service: UPS Next day Air Download the UPS mobile app © 2018 United Parcel Service of America, Inc. UPS, the UPS brandmark, and the color brown are trademarks of United Parcel Service of America, Inc. All rights reserved.All trademarks, trade names, or service marks that appear in connection with UPS's services are the property of their respective owners.Please do not reply directly to this e-mail. To manage your UPS My Choice® delivery alerts, select ""UPS My Choice Preferences"" below. UPS My Choice Preferences UPS Privacy Notice UPS My Choice Service Terms Help and Support Center",phishing,email,cross_model_human,human_phishing_corpus,true,false,false,True,verify,,reply,contact_request,False,,upstream_source=Nazario;package_authorship=human;all_rows_phishing
cross_model_human-f8839b5cf90cbe3b,"Try and convince - you can be better ror ird ch After many years of Rese iby arch and Develo kdh pment, our company is pleased to offer you a 100% Nat kr ural and Sa ks fe Pro dol duct that can safely and permanently en tdz lar wtj ge your p mo en ijj is si sjd ze up to 3-4 In hlt ch qay es in le jeo ng kiq th and up to 25% in girth. Discover what our ""proven to work"" for mp mula can do for you by or tte deri wl ng today. Many men were skeptical at first but after they gave our pi qmj lls a try their se jwq x life and self esteem changed for the better.Po qi we tj rEn dih lar fgz ge gu qw aran dwj tees great re ts sults and we gu xt aran fr tee fast delivery for you to start using this traction device as soon as possible and achieve your goal si jx ze. We take the utmost care to ensure the pri zhk vacy of your information.Purchase Po ygk we jw rEn cd lar mb ge and make your partner happy.Click here!!! ... hxxp://l[.]standmill[.]com/?qs",phishing,email,cross_model_human,human_phishing_corpus,true,false,false,True,Discover,Discover,unknown,unknown,True,hxxp://l[.]standmill[.]com/?qs,upstream_source=CEAS_08;package_authorship=human;all_rows_phishing
cross_model_human-ebc44cac94aa1b74,"Funds Funds FUNDS TRANSFER. Compliments of the day to you. I wish to extend this mutual business proposal to you with the hope that you will accept. I am the principal auditor of Department of Petroleum Resources. In the course of discharging my duty last year, I discovered an over invoiced contract payment due for payment to a foreign contractor. I am writing you to seek your assistance and collaboration to enable me use my position in Government to secure the approval for the payment of this over invoiced contract claim to your bank account. This particular contract was awarded to a Foreign Contractor and was over estimated to the tune of US$36,561,000.00 (Thirty Six Million, Five Hundred and Sixty one Thousand US Dollars Only). The foreign Contractor has received full payment for the actual contract value, leaving behind the sum of US$36,561,000.00 which represents the over estimated contract valuE Currently lying at the Central Bank of Nigeria. The over estimated value of $36,561,000.00 was meant to be a Kick Back to the Government officials that awarded the contract. These Government officials have been removed from office and they had no chance of collecting the money before leaving office. As a result of updated payment advise at the Central Bank, it has been awaiting transfer to a Foreign Account. Having done all the necessary groundwork, this money is now in our possession and I am looking for a trustworthy person into whose private or company's account this money would be transferred. Upon the transfer of this money, 70% of the sum will be for me, 25% shall be for you the account owner, while the remaining 5% shall be set aside to refund expenses made in the course of this transaction. Be assured that this business is safe but the keyword is the confidentiality, due to the nature of the transaction and my position in the ministry. Kindly treat as urgent. Yours faithfully, _________________________________________________________ Do You Yahoo!? Get your free @yahoo.com address at",phishing,email,cross_model_human,human_phishing_corpus,true,false,false,True,bank|account|payment|transaction|transfer,,transfer_money,financial_transfer,False,,upstream_source=enron_data_fraud_labeled;package_authorship=human;all_rows_phishing
cross_model_human-7f1e9f84aa9012a3,"Letter from a suffering family Dear Sir, I know you will be surprise to receive this letter but please consider it as a request from a suffering family in serious need of your assistance. My family had to bring before you this proposal because we sincerely hope you will be reliable to assist us. Anyway, my i am from Zimbabwe.My father was ordered to be killed by President Robert Mugabe because he supported the white farmers who refused to give up their lands in Zimbabwe during the land reform crisis in the country. After the death of my father,I am my family fled to South Africa, from where I was able to travel to the Netherland where I applied for asylum and I am currently living as a refugee. We need your assistance to claim $15 Million US Dollars from a security company in the Netherlands, which my father deposited there before he died.You will claim this fund from the Company and transfer it to your country, after which we will then come over to meet with you in your country. For your assistance you will get 10% of the total fund and 5% will be for expenses, while the balance 85% will be for my family. We are soliciting for your assistance due to my inability as a refugee to operate an account with huge amount of money. I genuinely solicit that you kindly help me and my family transfer this Fund to your country and we are relying heavily on you to help us. Note that you will also assist us to come over to your country as soon as you claim the fund. We also intend to invest part of our share into a profitable business in your country under your supervision. Also Keep this transaction secret and confidential as the lives of my family is at stake in south Africa. Kindly contact me immedaitely so that i can funish you with the necessary information before we proceed. Kind regards, Please treat this as urgent",phishing,email,cross_model_human,human_phishing_corpus,true,false,false,True,account|transaction|transfer|balance|security,,unknown,unknown,False,,upstream_source=Nigerian_Fraud;package_authorship=human;all_rows_phishing
cross_model_human-f95942e2858d2115,"Chase Online Upgrade - 2/2 Chase Online Upgrade 2/2 *****CHASE. THE RIGHT RELATIONSHIP IS EVERYTHING.(R)***** Dear Valued Customer, At Chase, we're committed to improving your online experience. Our customers told us to make Chase Online simpler. So we did, and now it's easier and more convenient than ever to access your Chase accounts and conduct transactions online. On Saturday, February 2nd, we'll be working to convert you to the improved Chase Online. When you log on to Chase Online after this date, you'll see new features and a new look. Please be assured that all of your information will automatically be converted to the new service. There's nothing you need to do. With the new Chase Online you will enjoy: >One-click access to most functions >Easier bill payments >Quicker access to your account details For your convenience, we have created a new ""Show Me How"" tutorial to help you learn how to use most common functions, such as paying bills or transferring money. We hope you enjoy all the benefits of Chase Online. Thank you for banking with Chase and using Chase Online. We appreciate your business. Note: Please check your ChaseMail for additional service messages regarding this upgrade. Any emails in your ChaseMail mailbox that have been opened (read) and are more than 90 days old will be deleted upon conversion. Copyright 2002, J.P. Morgan Chase Co. All rights reserved. __________________________________________________________________________ ABOUT THIS MESSAGE: Service Related E-mail: You are receiving this message because when you signed up for Chase Online you provided us with your e-mail address as a method to contact you when there are service messages regarding Chase Online. Please be assured that we will only use your e-mail address to send you service notices and will not send general information about Chase's products and services unless you have chosen this option. This message is for information purposes only. Please do not reply to this message, as the ""reply"" function is not equipped to handle inquiries. For your convenience, you can contact Chase via e-mail by visiting Contact Us on the Chase Home Page:",phishing,email,cross_model_human,human_phishing_corpus,true,false,false,True,account|Chase,Chase,reply,contact_request,False,,upstream_source=enron_data_fraud_labeled;package_authorship=human;all_rows_phishing
cross_model_human-42a74ed5c9a53c8f,"Satisfy your Jenna Jameson DesiresL Satisfy your Jenna Jameson DesiresL Video Age X Logo International Orders Now Accepted! 1)Credit Card or Mone= y Order (US Funds Only) 2)All VHS is NTSC Format Dear Adult Video Fan, [IM= AGE]4 FREE Jenna Jameson Films-Get 4 FREE films ($5.75 S H) starring Vivi= d Girl Jenna Jameson. This 4-Pack is packed with plenty of sex, and include= s ""Lip Service"". Be sure to check out our other great weekly offers. If you= buy anything else-your shipping charge does not go up. It's still a low $5= .75! Be sure to check out our other HOT adult buys [IMAGE]NEW Jenna-""Bria= na Loves Jenna"" is the HOTTEST film of the year. Pick it up here for just 18.95 (the best price on the net). [IMAGE]""Cloud 900"" is only $3.95-These phone sex girls let it all hang out. Starring ""Busty"" Brittany Andrews and Sindee Cox. [IMAGE]4 XXX Films for only $5.95-Talk about star power. These= 4 films feature HOT sex from Jill Kelly, Serenity, Stephanie Swift and Mis= sy. [IMAGE]S-T-R-E-T-C-H your DVD Dollar-Get 4 films on 1 double sided DVD= for only $9.95. Starring Wendy Whoppers and her amazing 52 DD's. Includes ""Prison Love Doll"". [IMAGE] Be sure to visit our overstock area for great daily VHS/DVD deals. Don't forget to sign up for our FREE weekly e-mail new= sletter that features the best deals on Adult VHS/DVD. [IMAGE] All sales a= re backed by our 100% ""no hassle"" guarantee. Al Larsen Video Age X Sales Manager Click or Type Click Her= e! Questions about this offer? Customer Service (Cancellations of Orde= rs MUST be called in) Video Age X Inc. 4828 Park Glen Road Minneapolis, MN= 55416 Toll Free: [PHONE] Selling quality adult video since 1981. C= opyright 2002 =09 To Be Taken out of future mailings, Just reply with the word R.E.M.O.V.E.",phishing,email,cross_model_human,human_phishing_corpus,true,false,false,True,card|credit,,call_phone,contact_request,False,,upstream_source=enron_data_fraud_labeled;package_authorship=human;all_rows_phishing
cross_model_human-5aa2e773570e0e9d,"Re:Re:New Order Hello how are you today, Please find attached signed New Order for supply ,kindly reconfrim you bank account details for it have appear 2 times in the PROFOMA. I await your acknowledgment and further instructions. Thanks for your understanding. Best Regards, N. Abu-Mahmoud Purchase Executive. Al Attiyah Group Holding Tel: [PHONE] Fax: [PHONE] Mobile:[PHONE] P. O Box: 45444 Doha-Qatar",phishing,email,cross_model_human,human_phishing_corpus,true,false,false,True,bank|account,,unknown,unknown,False,,upstream_source=Nazario;package_authorship=human;all_rows_phishing
