pair_id,original_id,source_dataset,is_human_written,is_ai_generated,is_ai_rewritten,original_label,original_text,original_prediction,original_phishing_probability,manual_requested_action,manual_intent_type,manual_brand_mentioned,rewritten_text,rewrite_style,same_intent_verified,rewrite_notes,defanged_variant,defanged_intent_category,defanged_intent_preserved,defanged_notes,rescored_original_probability,rescored_original_prediction,defanged_probability,defanged_prediction,probability_change,original_missed,defanged_missed,became_missed_after_defanging
pair_001,SmishX-25fd36050f217281,SmishX,unknown,unknown,False,phishing,"AFCU We have temporarily locked your account due to an suspicious activity, To unlock, verify now: hxxps://hm[.]ru/5WnL6j",non_phishing,0.486450532,,,,,professional_less_suspicious,,,"[BANK_OR_SERVICE] We have temporarily locked your account due to an suspicious activity, To unlock, verify now: [DEFANGED_LINK]",account_locked_or_suspended,yes,defanged research-only variant; operational phishing details removed,0.4864505315431643,non_phishing,0.7385388861880134,phishing,0.25208835464484913,True,False,False
pair_002,SmishX-9a18b3abe4ff9af0,SmishX,unknown,unknown,False,phishing,"AFCU We have temporarily locked your account due to an suspicious activity, To unlock, verify now: hxxps://hm[.]ru/5WnL6j",non_phishing,0.486450532,,,,,professional_less_suspicious,,,"[BANK_OR_SERVICE] We have temporarily locked your account due to an suspicious activity, To unlock, verify now: [DEFANGED_LINK]",account_locked_or_suspended,yes,defanged research-only variant; operational phishing details removed,0.4864505315431643,non_phishing,0.7385388861880134,phishing,0.25208835464484913,True,False,False
pair_003,cross_model_human-ec9c76c64f77bcc2,cross_model_human,TRUE,FALSE,False,phishing,"URGENT/CONFIDENTIAL . From Frank Koff. ABIDJAN COTE D' IVOIRE. [EMAIL] DEAREST ONE , PERMIT ME TO INFORM YOU OF MY DESIRE OF GOING INTO BUSINESS RELATIONSHIP WITH YOU. I GOT YOUR NAME AND CONTACT FROM THE IVOIRIAN CHAMBER OF COMMERCE AND INDUSTRY. I PRAYED OVER IT AND SELECTED YOUR NAME AMOUNG OTHER NAMES DUE TO IT'S ESTEEMING NATURE AND THE RECOMMENDATIONS GIVEN TO ME AS A REPUTABLE AND TRUSWORTHY PERSON I CAN DO BUSINESS WITH AND BY THEIR RECOMMENDATIONS I MUST NOT HESISTATE TO CONFIDE IN YOU FOR THIS URGENT BUSINESS. I AM Frank Koff., THE ONLY CHILD OF LATE MR AND MRS.PATRICK KOFF, MY FATHER WAS A VERY WEALTHY COCOA MERCHANT BASED IN ABIDJAN, THE ECONOMIC CAPITAL OF IVORY COAST BEFORE HE WAS POISONED TO DEATH BY HIS BUSINESS ASSOCIATES ON ONE OF THEIR OUTING TO DISCUSS A BUSINESS.WHEN MY MOTHER DIED ON THE 21ST OCTOBER 1984, MY FATHER TOOK ME SO SPECIAL BECAUSE I AM MOTHERLESS, BEFORE THE DEATH OF MY FATHER ON 29TH JUNE 2000 IN A PRIVATE HOSPITAL HERE IN ABIDJAN. HE SECRETLY CALLED ME ON HIS BEDSIDE AND TOLD ME THAT HE HAS A SUM OF US$11.500,000 (ELEVEN MILLION FIVE HUNDRED THOUSAND UNITED STATES DOLLARS) LEFT IN A SUSPENCE ACCOUNT IN A LOCAL BANK HERE IN ABIDJAN, THAT HE USED MY NAME AS HIS ONLY SON FOR THE NEXT OF KIN IN DEPOSIT OF THE FUND. HE ALSO EXPLAINED TO ME THAT IT WAS BECAUSE OF THIS WEALTH THAT HE WAS POISONED BY HIS BUSINESS ASSOCIATES. THAT I SHOULD SEEK FOR A FOREIGN PARTNER IN A COUNTRY OF MY CHOICE WHERE I WILL TRANSFER THIS MONEY AND USE IT FOR INVESTMENT PURPOSE WITH REST OF OUR FAMILY, (SUCH AS REAL ESTATE MANAGEMENT). DEAR, I AM HONOURABLY SEEKING YOUR ASSISTANCE IN THE FOLLOWING WAYS. (1. TO PROVIDE A BANK ACCOUNT WHERE THIS MONEY WOULD BE TRANSFERRED TO (.2)TO SERVE AS THE GUARDIAN OF THIS FUND BECAUSE OF MY LOW EXPERIENCE IN THE BUSINESS WORLD AND IN OTHER NOT TO LOSE THIS MONEY? COUPLED WITH MY AGE. I AM 24 YEARS OLD (.3)TO MAKE ARRANGEMENT FOR ME TO COME OVER TO YOUR COUNTRY AFTER THE MONEY HAS BEEN TRANSFERRED. HOWEVER, DEAR, I HAVE ACCEPTED TO OFFER YOU 10% OF THE TOTAL SUM AS COMPENSATION FOR YOUR EFFORT/INPUT AFTER THE SUCCESSFUL TRANSFER OF THIS MONEY TO YOUR ACCOUNT OVERSEAS. FURTHERMORE, YOU CAN INDICATE YOUR OPTION TOWARDS ASSISTING ME AS I BELIEVE THAT THIS TRANSACTION WOULD BE CONCLUDED WITHIN SEVEN (7) DAYS YOU SIGNIFY YOUR INTEREST TO ASSIST ME. ANTICAIPTING TO HEAR FROM YOU SOON. THANKS AND GOD BLESS FRANK KOFFI --------------------------------- Don't miss important emails - get alerted on your phone when new Yahoo! Mail arrives.",phishing,0.960060086,,,,,professional_less_suspicious,,,"URGENT/CONFIDENTIAL . From Frank Koff. ABIDJAN COTE D' IVOIRE. [EMAIL] DEAREST ONE , PERMIT ME TO INFORM YOU OF MY DESIRE OF GOING INTO BUSINESS RELATIONSHIP WITH YOU. I GOT YOUR NAME AND CONTACT FROM THE IVOIRIAN CHAMBER OF COMMERCE AND INDUSTRY. I PRAYED OVER IT AND SELECTED YOUR NAME AMOUNG OTHER NAMES DUE TO IT'S ESTEEMING NATURE AND THE RECOMMENDATIONS GIVEN TO ME AS A REPUTABLE AND TRUSWORTHY PERSON I CAN DO BUSINESS WITH AND BY THEIR RECOMMENDATIONS I MUST NOT HESISTATE TO CONFIDE IN YOU FOR THIS URGENT BUSINESS. I AM Frank Koff., THE ONLY CHILD OF LATE MR AND MRS.PATRICK KOFF, MY FATHER WAS A VERY WEALTHY COCOA MERCHANT BASED IN ABIDJAN, THE ECONOMIC CAPITAL OF IVORY COAST BEFORE HE WAS POISONED TO DEATH BY HIS BUSINESS ASSOCIATES ON ONE OF THEIR OUTING TO DISCUSS A BUSINESS.WHEN MY MOTHER DIED ON THE 21ST OCTOBER 1984, MY FATHER TOOK ME SO SPECIAL BECAUSE I AM MOTHERLESS, BEFORE THE DEATH OF MY FATHER ON 29TH JUNE 2000 IN A PRIVATE HOSPITAL HERE IN ABIDJAN. HE SECRETLY CALLED ME ON HIS BEDSIDE AND TOLD ME THAT HE HAS A SUM OF US$11.500,000 (ELEVEN MILLION FIVE HUNDRED THOUSAND UNITED STATES DOLLARS) LEFT IN A SUSPENCE ACCOUNT IN A LOCAL BANK HERE IN ABIDJAN, THAT HE USED MY NAME AS HIS ONLY SON FOR THE NEXT OF KIN IN DEPOSIT OF THE FUND. HE ALSO EXPLAINED TO ME THAT IT WAS BECAUSE OF THIS WEALTH THAT HE WAS POISONED BY HIS BUSINESS ASSOCIATES. THAT I SHOULD SEEK FOR A FOREIGN PARTNER IN A COUNTRY OF MY CHOICE WHERE I WILL TRANSFER THIS MONEY AND USE IT FOR INVESTMENT PURPOSE WITH REST OF OUR FAMILY, (SUCH AS REAL ESTATE MANAGEMENT). DEAR, I AM HONOURABLY SEEKING YOUR ASSISTANCE IN THE FOLLOWING WAYS. (1. TO PROVIDE A BANK ACCOUNT WHERE THIS MONEY WOULD BE TRANSFERRED TO (.2)TO SERVE AS THE GUARDIAN OF THIS FUND BECAUSE OF MY LOW EXPERIENCE IN THE BUSINESS WORLD AND IN OTHER NOT TO LOSE THIS MONEY? COUPLED WITH MY AGE. I AM 24 YEARS OLD (.3)TO MAKE ARRANGEMENT FOR ME TO COME OVER TO YOUR COUNTRY AFTER THE MONEY HAS BEEN TRANSFERRED. HOWEVER, DEAR, I HAVE ACCEPTED TO OFFER YOU 10% OF THE TOTAL SUM AS COMPENSATION FOR YOUR EFFORT/INPUT AFTER THE SUCCESSFUL TRANSFER OF THIS MONEY TO YOUR ACCOUNT OVERSEAS. FURTHERMORE, YOU CAN INDICATE YOUR OPTION TOWARDS ASSISTING ME AS I BELIEVE THAT THIS TRANSACTION WOULD BE CONCLUDED WITHIN SEVEN (7) DAYS YOU SIGNIFY YOUR INTEREST TO ASSIST ME. ANTICAIPTING TO HEAR FROM YOU SOON. THANKS AND GOD BLESS FRANK KOFFI --------------------------------- Don't miss important emails - get alerted on your phone when new Yahoo! Mail arrives.",transaction_or_payment_verification,yes,defanged research-only variant; operational phishing details removed,0.9600600858177328,phishing,0.9600600858177328,phishing,0.0,False,False,False
pair_004,cross_model_human-d603df4dc6ff50a1,cross_model_human,TRUE,FALSE,False,phishing,"SOLICITATION Attn:The President/CEO I crave your indulgence as I contact you in such a surprising manner. But I respectfully insist you read this letter carefully as I am optimistic it will open doors for unimaginable financial reward for both of us. This business transaction might not fall within the wide spectrum of your business activities, but I plead your assistance, as your flair for profitable business is needed. Permit me to introduce myself,I am Dr Blessed Ogbe the Banking officer to Engr.Johnson Creek who was a major contractor to oil companies,.On the 21st of April 2000,my lient, his wife and their three children were involved in a car accident along Sagamu / Lagos Express Road. Unfortunately they All lost their lives in the event of the accident. Since then I have made several enquiries to your Embassy to locate any of my clients extended relatives, this has also proved unsuccessful. After these several unsuccessful attempts, I decided to trace his relatives over the Internet to locate any member of his family but of no avail, hence I contacted you.I contacted you to assist in repartrating the money and property left behind by my client before they get confiscated or declared unserviceable by the bank where this huge deposits were lodged. Particularly,the Bank where the deceased had an account valued at about US$15.2M (Fifteen Million Two Hundred Thousand United Stated Dollars). Conseqently, the bank issued me a notice to provide the next of kin or have the account confiscated. Since I have been unsuccesfull in locating the the relatives for over 2 years now. I seek your consent to present you as the next of kin of the deceased since you are from the same country so that the proceeds of this account valued at US$15.2million can be paid to you and then you and me can share the money. 60% to me and 40% to you. I have all necessary legal documents that can be used to back up any claim we may make. All I require is your honest co-operation to enable us see this deal through. I guarantee that this will be executed under a legitimate arrangement that will protect you from any breach of the law. Kindly email your following confidential information to me urgently to enable us proceed: a.Your complete names b.Your private telephone number c.Your private fax number d.Your private email address Please direct your reply to my confidential email:[EMAIL] or through the below fax.You can also reach me through my private telephone number stated below for any enquiries. Upon the receipt of your information,I will advise you on the modalities of the transaction.We have concluded details on how to achieve success. Yours Faithfully, Dr.Blessed Ogbe Position: Operation Director, Pacific International Bank Plc, 40,Marina Rd,Lagos,Nigeria. Tel: [PHONE] Fax:[PHONE] Freeserve AnyTime - HALF PRICE for the first 3 months - Save £7.50 a month www[.]freeserve[.]com/anytime",phishing,0.969372391,,,,,professional_less_suspicious,,,"SOLICITATION Attn:The President/CEO I crave your indulgence as I contact you in such a surprising manner. But I respectfully insist you read this letter carefully as I am optimistic it will open doors for unimaginable financial reward for both of us. This business transaction might not fall within the wide spectrum of your business activities, but I plead your assistance, as your flair for profitable business is needed. Permit me to introduce myself,I am Dr Blessed Ogbe the Banking officer to Engr.Johnson Creek who was a major contractor to oil companies,.On the 21st of April 2000,my lient, his wife and their three children were involved in a car accident along Sagamu / Lagos Express Road. Unfortunately they All lost their lives in the event of the accident. Since then I have made several enquiries to your Embassy to locate any of my clients extended relatives, this has also proved unsuccessful. After these several unsuccessful attempts, I decided to trace his relatives over the Internet to locate any member of his family but of no avail, hence I contacted you.I contacted you to assist in repartrating the money and property left behind by my client before they get confiscated or declared unserviceable by the bank where this huge deposits were lodged. Particularly,the Bank where the deceased had an account valued at about US$15.2M (Fifteen Million Two Hundred Thousand United Stated Dollars). Conseqently, the bank issued me a notice to provide the next of kin or have the account confiscated. Since I have been unsuccesfull in locating the the relatives for over 2 years now. I seek your consent to present you as the next of kin of the deceased since you are from the same country so that the proceeds of this account valued at US$15.2million can be paid to you and then you and me can share the money. 60% to me and 40% to you. I have all necessary legal documents that can be used to back up any claim we may make. All I require is your honest co-operation to enable us see this deal through. I guarantee that this will be executed under a legitimate arrangement that will protect you from any breach of the law. Kindly email your following confidential information to me urgently to enable us proceed: a.Your complete names b.Your private telephone number c.Your private fax number d.Your private email address Please direct your [REQUESTED_ACTION]] or through the below fax.You can also reach me through my private telephone number stated below for any enquiries. Upon the receipt of your information,I will advise you on the modalities of the transaction.We have concluded details on how to achieve success. Yours Faithfully, Dr.Blessed Ogbe Position: Operation Director, Pacific International Bank Plc, 40,Marina Rd,Lagos,Nigeria. Tel: [PHONE] Fax:[PHONE] Freeserve AnyTime - HALF PRICE for the f[BANK_OR_SERVICE]t 3 months - Save £7.50 a month [DEFANGED_LINK]",refund_or_tax_payment_verification,yes,defanged research-only variant; operational phishing details removed,0.9693723911001373,phishing,0.9628967427781936,phishing,-0.0064756483219436944,False,False,False
pair_005,cross_model_human-3be7e30273543fed,cross_model_human,TRUE,FALSE,False,phishing,"Save on your drugs with us RIGHT NOW! of God, which is in Christ Jesus our Lord', who of God is Without referring you to the context, I shall from the words,torments, and so must have continued for ever, had we shut Had any of us purchased a slave at a most expensive rate, and altogether Christians.God's dear Son! To put off the old man, which is corrupt, and so holy, yet we cannot, on account of that, hope for dwell in him, and he in them; they are led by the Spirit, and wrought within them. Whatever they may pretend to, since wrought in us: to this, and not to the light within, or any thing Rodney Plummer",phishing,0.74172715,,,,,professional_less_suspicious,,,"Save on your drugs with us RIGHT NOW! of God, which is in Christ Jesus our Lord', who of God is Without referring you to the context, I shall from the words,torments, and so must have continued for ever, had we shut Had any of us pur[BANK_OR_SERVICE]d a slave at a most expensive rate, and altogether Christians.God's dear Son! To put off the old man, which is corrupt, and so holy, yet we cannot, on account of that, hope for dwell in him, and he in them; they are led by the Spirit, and wrought within them. Whatever they may pretend to, since wrought in us: to this, and not to the light within, or any thing Rodney Plummer",generic_financial_account_alert,yes,defanged research-only variant; operational phishing details removed,0.7417271496692377,phishing,0.7425262250511905,phishing,0.0007990753819527852,False,False,False
pair_006,cross_model_human-e2b283dd83b404d7,cross_model_human,TRUE,FALSE,False,phishing,"Paul Williams -- williams2002.com -- Candidate for Congress, 9th district Paul Williams williams2002.com Candidate for Congress, 9th district Introducing williams2002.com The official website for Paul Williams Campaign Paul Williams is the Republican candidate for Congress in the 9th congressional district of Texas, which includes Harris, Galveston, Jefferson, and Chambers Counties. please visit the website to learn more about Paul Williams and his position on the issues. please visit the website to make a contribution to Paul's campaign either by credit card, check or money order.",phishing,0.67871115,,,,,professional_less_suspicious,,,"Paul Williams -- williams2002.com -- Candidate for Congress, 9th district Paul Williams williams2002.com Candidate for Congress, 9th district Introducing williams2002.com The official website for Paul Williams Campaign Paul Williams is the Republican candidate for Congress in the 9th congressional district of Texas, which includes Harris, Galveston, Jefferson, and Chambers Counties. please visit the website to learn more about Paul Williams and his position on the issues. please visit the website to make a contribution to Paul's campaign either by credit card, check or money order.",card_or_payment_account_alert,yes,defanged research-only variant; operational phishing details removed,0.6787111498579972,phishing,0.6787111498579972,phishing,0.0,False,False,False
pair_007,cross_model_human-196b68ab746af8e0,cross_model_human,TRUE,FALSE,False,phishing,"Urgent Greeting, Urgent Greeting, BARRISTER DONATUS OKOBI Email:[EMAIL] PLEASE REPLY ME ON MY ALLTERNATIVE EMAIL:[EMAIL] Reply To: [EMAIL] Attn: Dear Friend, I am BARRISTER Donatus Okobi, personal Attorney to the late MICHAEL OTTO SULLIVAN.of Philadelphia, A national of your country, My late client was involved in an {AIR CRASH} that occurred on Jan Thursday 9th 2003 With an air craft {US Airways Express Flight 5481 } which crashed Wednesday at Charlotte/Douglas International Airport, killing all 21 aboard passengers were involved as you can confirm from the website below;{hxxp://www[.]thestate[.]com/mld/state/4904572[.]htm } I got your contact through the help of my sister-in-law that works with the American Chambers of Commerce and Tourism, due I did not disclose to her my humble intention for an honest foreigner like you, Having noted the confidence reposed on your person by the sponsor of the recommendation, My late client was as well a one time secret Agent in transferring of money overseas for the late head of state of Nigeria {GENERALSANI ABACHA }. Before his death On Jan Thursday 9th 2003, My client Deposited the total sum of US$20,000,000.00 { TWENTY MILLION UNITED STATES DOLLARS } In {IMPERIAL BANKING CORPRATION} hoping of transferring the fund to his country as soon as he comes back from conference. Union Bank Nigeria Plc ACCOUNT NUMBER: [PHONE]/784768 ROUTING NUMBER: [PHONE] CODE: UBN/LILLACWONG/99/05 BENEFICIARY'S NAME: MR.MICHAEL OTTO SULLIVAN AMOUNT: $20 MILLION UNITED STATES DOLLARS = After these several unsuccessful attempts, I decided to trace his name over the Internet, to locate any member of his family. I have contacted you to assist in repatriating the money and properties left behind by my client before he get confiscated or declared unserviceable by the Bank where this huge deposit were lodged. Particularly, the {U.B.N} Where the decease had an account valued at about US$20m, Has issued me a notice to provide the {NEXT OF KIN} or have the account confiscated within the next 10 official working days. Since I have been unsuccessful in locating the relatives, I seek your consent to present you as the {NEXT OF KIN} of the decease since you are a foreigner to suite the purpose of the transaction. We have agree to share the money as follows,. 60% to me and 30% to you, While 10% has been set aside for any incidental expenses that may come up during this transaction by both parties, including the phone bills, etc. Please, get in touch with me by my private email address to enable us to claim the fund immediately {[EMAIL]} I hope to hear from you soon. More importantly, you are strictly advice to send your reply to my Private and personal email address bellow for security and confidential reason [EMAIL] Thanks and God bless BARRISTER DONATUS OKOBI PLEASE REPLY ME ON MY ALLTERNATIVE EMAIL:[EMAIL]",phishing,0.984003977,,,,,professional_less_suspicious,,,"Urgent Greeting, Urgent Greeting, BARRISTER DONATUS OKOBI Email:[EMAIL] PLEASE [REQUESTED_ACTION]]",transaction_or_payment_verification,yes,defanged research-only variant; operational phishing details removed,0.9840039767048224,phishing,0.7743302704092799,phishing,-0.2096737062955425,False,False,False
pair_008,cross_model_human-108fa86c81d61f8b,cross_model_human,TRUE,FALSE,False,phishing,"Foreign debit notification Dear customer Your card has been used for an online payment in the totalamount of R6,092.71 at ""Shezan Limited"" Because thistransaction was conducted from pakistan, we declined the transaction and temporarily deactivated your card. To reactivate your card please login hereand complete theStandard Banksecurity measures. No matter where you are, our fraud systems will monitor your account for suspicious and unauthorized transactions. Please keep your contact information up-to-date in the My Profile section of Online Banking in case we need to reach you. Regards Elite Banking Team Copyright Standard Bank. All rights reserved.Standard Bank of South Africa Limited (Reg. No. 1962/000738/06). Authorised financial services provider. Registered credit provider (NCRCP15).Disclaimer and confidentiality note:Everything in this email and any attachments relating to the official business of Standard Bank Group Limited is proprietary to the group.It is confidential, legally privileged and protected by law. Standard Bank does not own and endorse any other content.The person addressed in the email is the sole authorised recipient.Please n otify the sender immediately if it has unintentionally reached you and do not read disclose or use the content in any way.Standard Bank cannot assume that the integrity of this communication has been maintained nor that it is free of errors, virus, interception or interference.For ourprivacy policyor information about the Standard Bank group visit our website atwww[.]standardbank[.]co[.]za[.]",phishing,0.873537157,,,,,professional_less_suspicious,,,"Foreign debit notification Dear customer Your card has been used for an online payment in the totalamount of R6,092.71 at ""Shezan Limited"" Because thistransaction was conducted from pakistan, we declined the transaction and temporarily deactivated your card. To reactivate your card please [REQUESTED_ACTION] hereand complete the[BANK_OR_SERVICE]security measures. No matter where you are, our fraud systems will monitor your account for suspicious and unauthorized transactions. Please keep your contact information up-to-date in the My Profile section of Online Banking in case we need to reach you. Regards Elite Banking Team Copyright [BANK_OR_SERVICE]. All rights reserved.[BANK_OR_SERVICE] of South Africa Limited (Reg. No. 1962/000738/06). Authorised financial services provider. Registered credit provider (NCRCP15).Disclaimer and confidentiality note:Everything in this email and any attachments relating to the official business of [BANK_OR_SERVICE] Group Limited is proprietary to the group.It is confidential, legally privileged and protected by law. [BANK_OR_SERVICE] does not own and endorse any other content.The person addressed in the email is the sole authorised recipient.Please n otify the sender immediately if it has unintentionally reached you and do not read disclose or use the content in any way.[BANK_OR_SERVICE] cannot assume that the integrity of this communication has been maintained nor that it is free of errors, virus, interception or interference.For ourprivacy policyor information about the [BANK_OR_SERVICE] group visit our website at[DEFANGED_LINK]",suspicious_activity,yes,defanged research-only variant; operational phishing details removed,0.8735371572093917,phishing,0.90427848067828,phishing,0.03074132346888825,False,False,False
pair_009,cross_model_human-a4db9c0fa393b45b,cross_model_human,TRUE,FALSE,False,phishing,"=?UTF-8?Q?Wir_haben_ungew=C3=B6hnliche_Aktivit=C3=A4ten_festgestellt!?= PayPal Wir haben ungewöhnliche Aktivitäten festgestellt! Wir benötigen Ihre Hilfe bei der Sicherung Ihres Kontos, um unbefugten Zugriff zu verhindern. Zu Ihrer Sicherheit kann Ihr Konto einige Einschränkungen aufweisen, bis Sie Maßnahmen ergreifen. Wir werden Ihr Konto nach 1 Tag (24 Stunden) schließen und Sie werden dauerhaft von unserer Website gesperrt. Alles Wir benötigen Ihre Hilfe bei der Sicherung Ihres Kontos, um unbefugten Zugriff zu verhindern. Klicken Sie zu Ihrer Sicherheit auf Mein Konto sichern, um Ihre Informationen zu bestätigen. Mein Konto sichern h1 {text-align:left} p {text-align:left} img.center { display: block; margin-left: auto; margin-right: auto; } PayPal Wir haben ungewöhnliche Aktivitäten festgestellt! Wir benötigen Ihre Hilfe bei der Sicherung Ihres Kontos, um unbefugten Zugriff zu verhindern. Zu Ihrer Sicherheit kann Ihr Konto einige Einschränkungen aufweisen, bis Sie Maßnahmen ergreifen. Wir werden Ihr Konto nach 1 Tag (24 Stunden) schließen und Sie werden dauerhaft von unserer Website gesperrt. Alles Wir benötigen Ihre Hilfe bei der Sicherung Ihres Kontos, um unbefugten Zugriff zu verhindern. Klicken Sie zu Ihrer Sicherheit auf Mein Konto sichern, um Ihre Informationen zu bestätigen. Mein Konto sichern",phishing,0.52111172,,,,,professional_less_suspicious,,,"=?UTF-8?Q?Wir_haben_ungew=C3=B6hnliche_Aktivit=C3=A4ten_festgestellt!?= [BANK_OR_SERVICE] Wir haben ungewöhnliche Aktivitäten festgestellt! Wir benötigen Ihre Hilfe bei der Sicherung Ihres Kontos, um unbefugten Zugriff zu verhindern. Zu Ihrer Sicherheit kann Ihr Konto einige Einschränkungen aufweisen, bis Sie Maßnahmen ergreifen. Wir werden Ihr Konto nach 1 Tag (24 Stunden) schließen und Sie werden dauerhaft von unserer Website gesperrt. Alles Wir benötigen Ihre Hilfe bei der Sicherung Ihres Kontos, um unbefugten Zugriff zu verhindern. Klicken Sie zu Ihrer Sicherheit auf Mein Konto sichern, um Ihre Informationen zu bestätigen. Mein Konto sichern h1 {text-align:left} p {text-align:left} img.center { display: block; margin-left: auto; margin-right: auto; } [BANK_OR_SERVICE] Wir haben ungewöhnliche Aktivitäten festgestellt! Wir benötigen Ihre Hilfe bei der Sicherung Ihres Kontos, um unbefugten Zugriff zu verhindern. Zu Ihrer Sicherheit kann Ihr Konto einige Einschränkungen aufweisen, bis Sie Maßnahmen ergreifen. Wir werden Ihr Konto nach 1 Tag (24 Stunden) schließen und Sie werden dauerhaft von unserer Website gesperrt. Alles Wir benötigen Ihre Hilfe bei der Sicherung Ihres Kontos, um unbefugten Zugriff zu verhindern. Klicken Sie zu Ihrer Sicherheit auf Mein Konto sichern, um Ihre Informationen zu bestätigen. Mein Konto sichern",generic_financial_account_alert,yes,defanged research-only variant; operational phishing details removed,0.5211117199541891,phishing,0.5076193560213826,phishing,-0.013492363932806506,False,False,False
pair_010,cross_model_human-cf25cb744e25376f,cross_model_human,TRUE,FALSE,False,phishing,"Mr.Raymond West Dear Friend, I discovered a dormant account in my office,as the auditor of my bank. It will be in my interest to transfer this fund worth Twenty Million dollars Sterling {U. S.$20,000,000.00). in an account offshore. If you can be a collaborator/partner to this please indicate interest immediately for us to proceed. Remember this is absolutely confidential, as I am seeking your assistance as the beneficiary of this unclaimed funds. since we are not allowed to operate a foreign account,Your contact phone numbers and name will be necessary for this effect, I have reposed my confidence in you and hope that you will not disappoint me. I Look forward to your earliest reply through my private email at: [EMAIL] MY Regards, Mr.Raymond West Auditor.",phishing,0.919372502,,,,,professional_less_suspicious,,,"Mr.Raymond West Dear Friend, I [BANK_OR_SERVICE]ed a dormant account in my office,as the auditor of my bank. It will be in my interest to transfer this fund worth Twenty Million dollars Sterling {U. S.$20,000,000.00). in an account offshore. If you can be a collaborator/partner to this please indicate interest immediately for us to proceed. Remember this is absolutely confidential, as I am seeking your assistance as the beneficiary of this unclaimed funds. since we are not allowed to operate a foreign account,Your contact phone numbers and name will be necessary for this effect, I have reposed my confidence in you and hope that you will not disappoint me. I Look forward to your earliest [REQUESTED_ACTION]] MY Regards, Mr.Raymond West Auditor.",transaction_or_payment_verification,yes,defanged research-only variant; operational phishing details removed,0.9193725024196412,phishing,0.8885526107830898,phishing,-0.03081989163655141,False,False,False
